trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
5956,False,"{'a': 0.6, 'e': 0.05089452118605367}",25,6,18.013542289670507,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
5957,False,"{'a': 0.6, 'e': 0.05086908028621564}",20,13,11.405477934709495,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5958,False,"{'a': 0.6, 'e': 0.05084365210364792}",20,14,13.07901352383341,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5959,False,"{'a': 0.6, 'e': 0.05081823663199349}",25,13,23.827967823672264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5960,False,"{'a': 0.6, 'e': 0.0507928338648985}",35,18,29.729242958990014,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5961,False,"{'a': 0.6, 'e': 0.050767443796012224}",25,11,24.681909014432257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5962,False,"{'a': 0.6, 'e': 0.05074206641898719}",25,14,21.72535036446645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5963,False,"{'a': 0.6, 'e': 0.05071670172747899}",20,8,22.801522644914083,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5964,False,"{'a': 0.6, 'e': 0.050691349715146494}",30,20,19.69266953973686,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5965,False,"{'a': 0.6, 'e': 0.05066601037565171}",25,20,8.718667869300514,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5966,False,"{'a': 0.6, 'e': 0.05064068370265976}",25,13,-18.478904952878448,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
5967,False,"{'a': 0.6, 'e': 0.050615369689839006}",20,5,27.47516329671533,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5968,False,"{'a': 0.6, 'e': 0.05059006833086096}",20,11,16.862073268298122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5969,False,"{'a': 0.6, 'e': 0.05056477961940023}",25,8,24.670405368992714,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
5970,False,"{'a': 0.6, 'e': 0.050539503549134696}",20,8,-0.2916518647367399,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
5971,False,"{'a': 0.6, 'e': 0.050514240113745286}",30,4,36.208481590686766,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
5972,False,"{'a': 0.6, 'e': 0.05048898930691617}",25,16,18.901023330449796,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5973,False,"{'a': 0.6, 'e': 0.05046375112233467}",20,14,1.4705961402150693,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5974,False,"{'a': 0.6, 'e': 0.05043852555369119}",30,8,35.45967555805799,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5975,False,"{'a': 0.6, 'e': 0.050413312594679356}",20,7,23.985119657923423,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5976,False,"{'a': 0.6, 'e': 0.05038811223899596}",25,0,26.995516837846157,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5977,False,"{'a': 0.6, 'e': 0.05036292448034086}",20,4,15.032435210855104,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
5978,False,"{'a': 0.6, 'e': 0.05033774931241717}",20,11,15.628715792395207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5979,False,"{'a': 0.6, 'e': 0.05031258672893105}",20,16,8.670170770366841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
